Category,Month,Year,PdDistrict,X,Y,Location
ASSAULT,2,2016,INGLESIDE,-122.4169367,37.73441232,"(37.7344123229715, -122.416936685644)"
ASSAULT,8,2016,INGLESIDE,-122.4169367,37.73441232,"(37.7344123229715, -122.416936685644)"
ASSAULT,8,2016,INGLESIDE,-122.4169367,37.73441232,"(37.7344123229715, -122.416936685644)"
ASSAULT,7,2016,BAYVIEW,-122.3933408,37.73441393,"(37.7344139325108, -122.393340760404)"
ASSAULT,9,2016,BAYVIEW,-122.3909653,37.73442918,"(37.7344291807899, -122.390965298144)"
ASSAULT,9,2016,BAYVIEW,-122.3909653,37.73442918,"(37.7344291807899, -122.390965298144)"
ASSAULT,4,2016,BAYVIEW,-122.387572,37.73445139,"(37.7344513906583, -122.387572026287)"
ASSAULT,8,2016,INGLESIDE,-122.4332602,37.7344579,"(37.7344578996866, -122.433260150704)"
ASSAULT,8,2016,INGLESIDE,-122.4332602,37.7344579,"(37.7344578996866, -122.433260150704)"
ASSAULT,9,2016,BAYVIEW,-122.4022039,37.73448268,"(37.7344826849218, -122.402203896506)"
ASSAULT,8,2016,BAYVIEW,-122.3919294,37.7344911,"(37.7344910991058, -122.39192940892)"
ASSAULT,10,2016,BAYVIEW,-122.3919294,37.7344911,"(37.7344910991058, -122.39192940892)"
ASSAULT,3,2016,BAYVIEW,-122.382247,37.73450252,"(37.7345025151708, -122.382247020863)"
ASSAULT,3,2016,BAYVIEW,-122.382247,37.73450252,"(37.7345025151708, -122.382247020863)"
ASSAULT,3,2016,BAYVIEW,-122.382247,37.73450252,"(37.7345025151708, -122.382247020863)"
